"","Domain_Meta.gage_id","Domain_Meta.station_nm","Domain_Meta.area_sqmi","Domain_Meta.HUC2","Domain_Meta.longitude","Domain_Meta.latitude","Domain_Meta.domainIDShort","Domain_Meta.domainIDLong"
"1","01013500","Fish River near Fort Kent, Maine",873,"01",-68.58277778,47.2375,942,8967
"2","01021480","Old Stream near Wesley, Maine",29.1,"01",-67.7361111,44.9369444,950,9109
"3","01027200","North Branch Penobscot River nr Pittston Farm, ME",232,"01",-69.9936111,45.93527778,945,9035
"4","01029200","Seboeis River near Shin Pond, Maine",173,"01",-68.6336111,46.14305556,946,9036
"5","01030500","Mattawamkeag River near Mattawamkeag, Maine",1418,"01",-68.3058333,45.5011111,941,8942
"6","01031300","Piscataquis River at Blanchard, Maine",118,"01",-69.58388889,45.2672222,NA,NA
"7","01031500","Piscataquis River near Dover-Foxcroft, Maine",298,"01",-69.3147222,45.175,948,9038
"8","01031510","Black Stream near Dover-Foxcroft, Maine",26,"01",-69.23638889,45.15027778,949,9039
"9","01037380","Ducktrap River near Lincolnville, Maine",14.4,"01",-69.0608333,44.32916667,952,9111
"10","01044550","Spencer Stream near Grand Falls, Maine",193,"01",-70.2416667,45.3136111,944,8981
"11","01046000","Austin Stream at Bingham, Maine",90,"01",-69.8805556,45.0644444,956,NA
"12","01047000","Carrabassett River near North Anson, Maine",353,"01",-69.955,44.86916667,958,9162
"13","01047200","Sandy River near Madrid, Maine",25.3,"01",-70.48527778,44.85777778,959,9163
"14","01048220","East Branch Wesserunsett Stream near Athens, Maine",19.5,"01",-69.6569444,44.9475,957,9161
"15","01052500","Diamond River near Wentworth Location, NH",152,"01",-71.0575,44.8775,1021,10129
"16","01054200","Wild River at Gilead, Maine",69.6,"01",-70.9797222,44.39055556,994,9418
"17","01054300","Ellis River at South Andover, Maine",130,"01",-70.7330556,44.5933333,992,9416
"18","01055000","Swift River near Roxbury, Maine",96.9,"01",-70.58888889,44.64277778,991,9415
"19","01057000","Little Androscoggin River near South Paris, Maine",73.5,"01",-70.5397222,44.30388889,993,9417
"20","01064801","BEARCAMP RIVER AT SOUTH TAMWORTH, NH",67.6,"01",-71.2878488,43.83007396,1008,9686
"21","01067950","Kennebunk River near Kennebunk, Maine",26.7,"01",-70.5533333,43.4322222,969,9337
"22","01069700","Branch Brook near Kennebunk, Maine",10.7,"01",-70.5833333,43.37916667,NA,NA
"23","01073000","OYSTER RIVER NEAR DURHAM, NH",12.1,"01",-70.9650603,43.1486955,968,9336
"24","01074520","EAST BRANCH PEMIGEWASSET RIVER AT LINCOLN, NH",115,"01",-71.6598029,44.0475669,NA,NA
"25","01075000","PEMIGEWASSET RIVER AT WOODSTOCK, NH",193,"01",-71.6795244,43.9761792,NA,NA
"26","01076500","PEMIGEWASSET RIVER AT PLYMOUTH, NH",622,"01",-71.6856337,43.7592388,1786,9423
"27","01077400","COCKERMOUTH RIVER BELOW HARDY BROOK, AT GROTON, NH",21.4,"01",-71.8333333,43.70388889,996,NA
"28","01078000","SMITH RIVER NEAR BRISTOL, NH",85.8,"01",-71.747857,43.56646307,997,9421
"29","01086000","WARNER RIVER AT DAVISVILLE, NH",146,"01",-71.7322996,43.25091159,259,9427
"30","01089100","SOUCOOK RIVER, AT PEMBROKE ROAD, NEAR CONCORD, NH",81.9,"01",-71.4803481,43.21369248,1787,9424
"31","01091000","SOUTH BRANCH PISCATAQUOG RIVER NEAR GOFFSTOWN, NH",104,"01",-71.64146129,43.01480519,998,NA
"32","01095220","STILLWATER RIVER NEAR STERLING, MA",31.6,"01",-71.7911829,42.41092507,1788,9353
"33","010965852","BEAVER BROOK AT NORTH PELHAM, NH",47.8,"01",-71.35367448,42.78286636,1789,9426
"34","01101000","PARKER RIVER AT BYFIELD, MA",21.3,"01",-70.9456096,42.75286948,1790,9338
"35","01105933","PASKAMANSET RIVER NEAR SOUTH DARTMOUTH, MA",26.2,"01",-70.9903171,41.58538185,NA,9340
"36","01115187","PONAGANSET RIVER AT SOUTH FOSTER, RI",14.4,"01",-71.7050677,41.8187102,1794,9361
"37","01115630","NOOSENECK RIVER AT NOOSENECK, RI",8.23,"01",-71.6325646,41.6267667,976,9363
"38","01116905","HUNT R 250 FT DS FRY BRK AT FRENCHTOWN, RI",16,"01",-71.47888889,41.63,1795,9362
"39","01117370","QUEEN R AT LIBERTY RD AT LIBERTY RI",19.6,"01",-71.568673,41.53898957,NA,NA
"40","01117468","BEAVER RIVER NEAR USQUEPAUG, RI",8.87,"01",-71.6281194,41.49260037,NA,NA
"41","01117500","PAWCATUCK RIVER AT WOOD RIVER JUNCTION, RI",100,"01",-71.68089828,41.44510024,1796,9369
"42","01117800","WOOD RIVER NEAR ARCADIA, RI",35.2,"01",-71.72062318,41.5739884,NA,NA
"43","01118000","WOOD RIVER AT HOPE VALLEY, RI",72.4,"01",-71.7164561,41.49815516,1797,9365
"44","01121000","MOUNT HOPE RIVER NEAR WARRENVILLE, CT",28.6,"01",-72.1689662,41.8437089,981,9370
"45","01123000","LITTLE RIVER NEAR HANOVER, CT",30,"01",-72.05229807,41.6717651,982,9371
"46","01130000","UPPER AMMONOOSUC RIVER NEAR GROVETON, NH",232,"01",-71.4689721,44.62505316,965,9252
"47","01134500","MOOSE RIVER AT VICTORY, VT",75.2,"01",-71.8373143,44.5117231,960,9247
"48","01135300","SLEEPERS RIVER (SITE W-5) NEAR ST. JOHNSBURY, VT",42.9,"01",-72.03842899,44.4353353,961,9248
"49","01137500","AMMONOOSUC RIVER AT BETHLEHEM JUNCTION, NH",87.6,"01",-71.6303617,44.2686741,966,9253
"50","01139000","WELLS RIVER AT WELLS RIVER, VT",98.4,"01",-72.0650915,44.1503413,963,9250
"51","01142500","AYERS BROOK AT RANDOLPH, VT",30.5,"01",-72.6578821,43.93450969,NA,NA
"52","01144000","WHITE RIVER AT WEST HARTFORD, VT",690,"01",-72.418149,43.71423614,971,9355
